Date,Price,Open,High,Low,Vol.,Change %
19/05/2023,18203.4,18186.15,18218.1,18060.4,260.90B,0.41%
18/05/2023,18129.95,18287.5,18297.2,18104.85,272.10B,-0.28%
17/05/2023,18181.75,18300.45,18309,18115.35,229.90B,-0.57%
16/05/2023,18286.5,18432.35,18432.35,18264.35,219.49B,-0.61%
15/05/2023,18398.85,18339.3,18458.9,18287.9,216.09B,0.46%
12/05/2023,18314.8,18273.75,18342.75,18194.55,241.70B,0.10%
11/05/2023,18297,18357.8,18389.7,18270.4,248.93B,-0.10%
10/05/2023,18315.1,18313.6,18326.75,18211.95,220.45B,0.27%
9/05/2023,18265.95,18303.4,18344.2,18229.65,245.37B,0.01%
8/05/2023,18264.4,18120.6,18286.95,18100.3,228.40B,1.08%
5/05/2023,18069,18117.3,18216.95,18055.45,239.70B,-1.02%
4/05/2023,18255.8,18081,18267.45,18066.7,226.64B,0.92%
3/05/2023,18089.85,18113.8,18116.35,18042.4,226.17B,-0.32%
2/05/2023,18147.65,18124.8,18180.25,18101.75,265.22B,0.46%
28/04/2023,18065,17950.4,18089.15,17885.3,290.26B,0.84%
27/04/2023,17915.05,17813.1,17931.6,17797.9,241.43B,0.57%
26/04/2023,17813.6,17767.3,17827.75,17711.2,233.01B,0.25%
25/04/2023,17769.25,17761.55,17807.45,17716.85,297.45B,0.15%
24/04/2023,17743.4,17707.55,17754.5,17612.5,255.74B,0.68%
21/04/2023,17624.05,17639.75,17663.2,17553.95,230.16B,0.00%
20/04/2023,17624.45,17638.6,17684.45,17584.35,215.10B,0.03%
19/04/2023,17618.75,17653.35,17666.15,17579.85,281.46B,-0.23%
18/04/2023,17660.15,17766.6,17766.6,17610.2,258.86B,-0.26%
17/04/2023,17706.85,17863,17863,17574.05,357.40B,-0.68%
13/04/2023,17828,17807.3,17842.15,17729.65,285.76B,0.09%
12/04/2023,17812.4,17759.55,17825.75,17717.25,232.82B,0.51%
11/04/2023,17722.3,17704.8,17748.75,17655.15,304.26B,0.56%
10/04/2023,17624.05,17634.9,17694.1,17597.95,254.82B,0.14%
6/04/2023,17599.15,17533.85,17638.7,17502.85,242.71B,0.24%
5/04/2023,17557.05,17422.3,17570.55,17402.7,248.35B,0.91%
3/04/2023,17398.05,17427.95,17428.05,17312.75,230.17B,0.22%
31/03/2023,17359.75,17210.35,17381.6,17204.65,263.89B,1.63%
29/03/2023,17080.7,16977.3,17126.15,16940.6,345.91B,0.76%
28/03/2023,16951.7,17031.75,17061.75,16913.75,238.84B,-0.20%
27/03/2023,16985.7,16984.3,17091,16918.55,218.42B,0.24%
24/03/2023,16945.05,17076.2,17109.45,16917.35,228.04B,-0.77%
23/03/2023,17076.9,17097.4,17205.4,17045.3,219.17B,-0.44%
22/03/2023,17151.9,17177.45,17207.25,17107.85,,0.26%
21/03/2023,17107.5,17060.4,17127.7,17016,246.74B,0.70%
20/03/2023,16988.4,17066.6,17066.6,16828.35,241.78B,-0.65%
17/03/2023,17100.05,17111.8,17145.8,16958.15,408.12B,0.67%
16/03/2023,16985.6,16994.65,17062.45,16850.15,349.82B,0.08%
15/03/2023,16972.15,17166.45,17211.35,16938.9,248.19B,-0.42%
14/03/2023,17043.3,17160.55,17224.65,16987.1,290.60B,-0.65%
13/03/2023,17154.3,17421.9,17529.9,17113.45,254.91B,-1.49%
10/03/2023,17412.9,17443.8,17451.5,17324.35,235.93B,-1.00%
9/03/2023,17589.6,17772.05,17772.35,17573.6,262.35B,-0.93%
8/03/2023,17754.4,17665.75,17766.5,17602.25,267.04B,0.24%
6/03/2023,17711.45,17680.35,17799.95,17671.95,362.80B,0.67%
3/03/2023,17594.35,17451.25,17644.75,17427.7,356.17B,1.57%
2/03/2023,17321.9,17421.5,17445.8,17306,310.67B,-0.74%
1/03/2023,17450.9,17360.1,17467.75,17345.25,272.88B,0.85%
28/02/2023,17303.95,17383.25,17440.45,17255.2,420.88B,-0.51%
27/02/2023,17392.7,17428.6,17451.6,17299,246.45B,-0.42%
24/02/2023,17465.8,17591.35,17599.75,17421.8,209.41B,-0.26%
23/02/2023,17511.25,17574.65,17620.05,17455.4,240.81B,-0.25%
22/02/2023,17554.3,17755.35,17772.5,17529.45,204.02B,-1.53%
21/02/2023,17826.7,17905.8,17924.9,17800.3,198.25B,-0.10%
20/02/2023,17844.6,17965.55,18004.35,17818.4,174.56B,-0.56%
17/02/2023,17944.2,17974.85,18034.25,17884.6,208.05B,-0.51%
16/02/2023,18035.85,18094.75,18134.75,18000.65,230.25B,0.11%
15/02/2023,18015.85,17896.6,18034.1,17853.8,229.27B,0.48%
14/02/2023,17929.85,17840.35,17954.55,17800.05,244.51B,0.89%
13/02/2023,17770.9,17859.1,17880.7,17719.75,231.28B,-0.48%
10/02/2023,17856.5,17847.55,17876.95,17801,231.99B,-0.21%
9/02/2023,17893.45,17885.5,17916.9,17779.8,260.85B,0.12%
8/02/2023,17871.7,17750.3,17898.7,17744.15,290.99B,0.85%
7/02/2023,17721.5,17790.1,17811.15,17652.55,354.40B,-0.24%
6/02/2023,17764.6,17818.55,17823.7,17698.35,282.54B,-0.50%
3/02/2023,17854.05,17721.75,17870.3,17584.2,424.12B,1.38%
2/02/2023,17610.4,17517.1,17653.9,17445.95,490.11B,-0.03%
1/02/2023,17616.3,17811.6,17972.2,17353.4,512.87B,-0.26%
31/01/2023,17662.15,17731.45,17735.7,17537.55,398.34B,0.07%
30/01/2023,17648.95,17541.95,17709.15,17405.55,432.43B,0.25%
27/01/2023,17604.35,17877.2,17884.75,17493.55,476.34B,-1.61%
25/01/2023,17891.95,18093.35,18100.6,17846.15,257.23B,-1.25%
24/01/2023,18118.3,18183.95,18201.25,18078.65,216.91B,0.00%
23/01/2023,18118.55,18118.45,18162.6,18063.45,202.46B,0.50%
20/01/2023,18027.65,18115.6,18145.45,18016.2,237.23B,-0.44%
19/01/2023,18107.85,18119.8,18155.2,18063.75,237.83B,-0.32%
18/01/2023,18165.35,18074.3,18183.75,18032.45,255.84B,0.62%
17/01/2023,18053.3,17922.8,18072.05,17886.95,219.06B,0.89%
16/01/2023,17894.85,18033.15,18049.65,17853.65,206.20B,-0.34%
13/01/2023,17956.6,17867.5,17999.35,17774.25,256.70B,0.55%
12/01/2023,17858.2,17920.85,17945.8,17761.65,227.77B,-0.21%
11/01/2023,17895.7,17924.25,17976.35,17824.35,259.85B,-0.10%
10/01/2023,17914.15,18121.3,18127.6,17856,283.28B,-1.03%
9/01/2023,18101.2,17952.55,18141.4,17936.15,257.24B,1.35%
6/01/2023,17859.45,18008.05,18047.4,17795.55,238.22B,-0.74%
5/01/2023,17992.15,18101.95,18120.3,17892.6,269.95B,-0.28%
4/01/2023,18042.95,18230.65,18243,18020.6,235.16B,-1.04%
3/01/2023,18232.55,18163.2,18251.95,18149.8,208.70B,0.19%
2/01/2023,18197.45,18131.7,18215.15,18086.5,256.07B,0.51%
30/12/2022,18105.3,18259.1,18265.25,18080.3,192.01B,-0.47%
29/12/2022,18191,18045.7,18229.7,17992.8,281.05B,0.38%
28/12/2022,18122.5,18084.75,18173.1,18068.35,193.87B,-0.05%
27/12/2022,18132.3,18089.8,18149.25,17967.45,214.26B,0.65%
26/12/2022,18014.6,17830.4,18084.1,17774.25,176.65B,1.17%
23/12/2022,17806.8,17977.65,18050.45,17779.5,221.45B,-1.77%
22/12/2022,18127.35,18288.8,18318.75,18068.6,195.70B,-0.39%
21/12/2022,18199.1,18435.15,18473.35,18162.75,187.59B,-1.01%
20/12/2022,18385.3,18340.3,18404.9,18202.65,169.04B,-0.19%
19/12/2022,18420.45,18288.1,18431.65,18244.55,154.85B,0.83%
16/12/2022,18269,18319.1,18440.95,18255.15,277.65B,-0.79%
15/12/2022,18414.9,18614.4,18652.9,18387.7,183.13B,-1.32%
14/12/2022,18660.3,18671.25,18696.1,18632.9,208.03B,0.28%
13/12/2022,18608,18524.4,18617.25,18490.2,187.59B,0.60%
12/12/2022,18497.15,18402.15,18521.55,18345.7,193.88B,0.00%
9/12/2022,18496.6,18662.4,18664.7,18410.1,215.84B,-0.61%
8/12/2022,18609.35,18570.85,18625,18536.95,202.81B,0.26%
7/12/2022,18560.5,18638.85,18668.3,18528.4,200.50B,-0.44%
6/12/2022,18642.75,18600.65,18654.9,18577.9,217.78B,-0.31%
5/12/2022,18701.05,18719.55,18728.6,18591.35,288.39B,0.03%
2/12/2022,18696.1,18752.4,18781.95,18639.2,254.40B,-0.62%
1/12/2022,18812.5,18871.95,18887.6,18778.2,324.96B,0.29%
30/11/2022,18758.35,18625.7,18816.05,18616.55,345.64B,0.75%
29/11/2022,18618.05,18552.45,18678.1,18552.15,195.26B,0.30%
28/11/2022,18562.75,18430.55,18614.25,18365.6,206.47B,0.27%
25/11/2022,18512.75,18528.45,18534.9,18445.1,205.88B,0.16%
24/11/2022,18484.1,18326.1,18529.7,18294.25,204.04B,1.19%
23/11/2022,18267.25,18325.2,18325.4,18246,178.79B,0.13%
22/11/2022,18244.2,18179.15,18261.85,18137.7,177.68B,0.46%
21/11/2022,18159.95,18246.4,18262.3,18133.35,213.79B,-0.81%
18/11/2022,18307.65,18382.95,18394.6,18209.8,198.79B,-0.20%
17/11/2022,18343.9,18358.7,18417.6,18312.95,200.51B,-0.36%
16/11/2022,18409.65,18398.25,18442.15,18344.15,219.27B,0.03%
15/11/2022,18403.4,18362.75,18427.95,18282,250.93B,0.41%
14/11/2022,18329.15,18376.4,18399.45,18311.4,301.40B,-0.11%
11/11/2022,18349.7,18272.35,18362.3,18259.35,378.47B,1.78%
10/11/2022,18028.2,18044.35,18103.1,17969.4,256.45B,-0.71%
9/11/2022,18157,18288.25,18296.4,18117.5,307.16B,-0.25%
