Date,Price,Open,High,Low,Vol.,Change %,Volume
16/07/2010,694.58,690,697.38,687.6,556.69K,0.70%,556690
19/07/2010,692.58,687.25,698.08,684.33,400.95K,-0.29%,400950
20/07/2010,689.4,693.75,695.67,685,384.35K,-0.46%,384350
21/07/2010,691.39,692.5,694.2,687.5,103.61K,0.29%,103610
22/07/2010,689.45,690,691.1,682.15,330.06K,-0.28%,330060
23/07/2010,695.46,696.5,696.5,691.25,219.74K,0.87%,219740
26/07/2010,700.62,697.5,702.25,697.5,241.61K,0.74%,241610
27/07/2010,706.31,702,707.98,702,270.64K,0.81%,270640
28/07/2010,708.39,707.5,710,703.75,267.96K,0.29%,267960
29/07/2010,708.54,705.89,709.88,703.05,207.45K,0.02%,207450
30/07/2010,697.21,705.75,707.5,691.5,235.94K,-1.60%,235940
2/08/2010,699.89,695.25,703,687.76,183.61K,0.38%,183610
3/08/2010,696.14,700,702.99,693.06,183.97K,-0.54%,183970
4/08/2010,716.95,697.51,718.75,697.51,512.79K,2.99%,512790
5/08/2010,718.35,720.25,726.7,716.95,310.36K,0.20%,310360
6/08/2010,716.01,715.75,722.25,713.06,296.88K,-0.33%,296880
9/08/2010,718.29,713.5,720.75,708.76,275.84K,0.32%,275840
10/08/2010,708.16,715.31,715.31,705,242.34K,-1.41%,242340
11/08/2010,702.7,709,713,700.04,196.53K,-0.77%,196530
12/08/2010,694.65,697.5,697.5,689.75,474.95K,-1.15%,474950
13/08/2010,695.05,694.25,699.5,689.25,640.99K,0.06%,640990
16/08/2010,689.88,690,693.98,687.5,378.06K,-0.74%,378060
17/08/2010,688.08,690,693.75,682.5,269.22K,-0.26%,269220
18/08/2010,701.29,691.27,703.88,689.54,274.63K,1.92%,274630
19/08/2010,701.02,705,705,696.25,208.33K,-0.04%,208330
20/08/2010,692.3,696.25,698.85,689.64,238.66K,-1.24%,238660
23/08/2010,698.09,690.25,701.7,690,156.89K,0.84%,156890
24/08/2010,691.38,696.25,698.09,689,190.12K,-0.96%,190120
25/08/2010,692.96,690,697,688.75,148.94K,0.23%,148940
26/08/2010,690.88,694.5,694.5,687,190.22K,-0.30%,190220
27/08/2010,677.21,689.25,689.25,672.5,318.81K,-1.98%,318810
30/08/2010,674,680.5,684.52,666.5,1.47M,-0.47%,1.47M
31/08/2010,676.77,670,679.5,668.75,2.83M,0.41%,2.83M
1/09/2010,693.94,676.75,695.79,676.75,352.26K,2.54%,352260
2/09/2010,687.66,694.27,697.5,686.3,167.73K,-0.90%,167730
3/09/2010,692.91,691.25,700.5,690.75,180.24K,0.76%,180240
6/09/2010,707.88,692.5,710,692.5,301.86K,2.16%,301860
7/09/2010,713.89,705.73,716.75,702.25,428.27K,0.85%,428270
8/09/2010,718.01,713.75,719.56,706.75,351.70K,0.58%,351700
9/09/2010,722.83,718,723.98,714.81,329.71K,0.67%,329710
13/09/2010,733.88,727,735.75,708.75,545.56K,1.53%,545560
14/09/2010,743.99,735,750,734.25,543.84K,1.38%,543840
15/09/2010,762.54,738.14,764.75,738.14,924.16K,2.49%,924160
16/09/2010,741.95,753.89,757,740.34,490.29K,-2.70%,490290
17/09/2010,743.52,748.77,752.5,741.5,330.42K,0.21%,330420
20/09/2010,751.48,746.25,753,744,322.21K,1.07%,322210
21/09/2010,764.62,753.8,766.25,748.75,576.41K,1.75%,576410
22/09/2010,751.83,765.5,766.5,748.55,333.30K,-1.67%,333300
23/09/2010,753.56,752.25,756.25,743.73,316.74K,0.23%,316740
24/09/2010,760.16,750,762,735.56,343.76K,0.88%,343760
27/09/2010,756.36,762.5,765,754.11,218.18K,-0.50%,218180
28/09/2010,754.16,753.5,757.25,750.75,135.31K,-0.29%,135310
29/09/2010,757.3,757.75,768.75,750.84,232.63K,0.42%,232630
30/09/2010,760.25,756.58,765,752.54,291.71K,0.39%,291710
1/10/2010,775.85,761,777.45,756.59,409.81K,2.05%,409810
4/10/2010,769.17,778.75,790.5,765.75,365.35K,-0.86%,365350
5/10/2010,771.01,775.95,777.25,767.5,919.82K,0.24%,919820
6/10/2010,775.42,780.92,780.92,769.75,168.29K,0.57%,168290
7/10/2010,763.81,772.25,774.17,762.5,558.21K,-1.50%,558210
8/10/2010,769.35,764.05,771.59,759.34,211.31K,0.73%,211310
11/10/2010,767.84,771,775,764.52,128.13K,-0.20%,128130
12/10/2010,768.73,764.52,771,757.85,279.42K,0.12%,279420
13/10/2010,787.8,772.5,790.23,768.83,5.19M,2.48%,5.19M
14/10/2010,796.06,787.5,807,787.5,997.65K,1.05%,997650
15/10/2010,769.04,801.27,812.25,766.35,2.15M,-3.39%,2.15M
18/10/2010,776.75,765,778.75,760.75,729.32K,1.00%,729320
